song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Hentai,4:45,59.0,6.0,https://open.spotify.com/track/4SjEdGI6Otmo5DRxAXKS9o,https://p.scdn.co/mp3-preview/a49757a2e97effac70d82dea58fbd429aa5b53f3?cid=57b733e352a843eab708ae2a3e3c30bc,Cry,2019-10-25,9.0,https://i.scdn.co/image/ab67616d00001e02b0d93d82c831a2655e32762e,https://open.spotify.com/album/4uQ5kFmXQdCxz3WvM4UUzy,Cigarettes After Sex,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj
Troner och folk och städer,2:31,22.0,5.0,https://open.spotify.com/track/0LWBnkNzqqVuHrWL7hjlFg,https://p.scdn.co/mp3-preview/b0467f131f456fefe68436e9b3572433f156a525?cid=57b733e352a843eab708ae2a3e3c30bc,Till havet,2018-05-25,8.0,https://i.scdn.co/image/ab67616d00001e02c2d6e7f9888936b0d6633fb6,https://open.spotify.com/album/0iyXNQtQgAK5V0fJG4PEl0,Menke,https://open.spotify.com/artist/56fiEsX7uP1maw2NajHZXJ
Arrested Development,3:56,18.0,1.0,https://open.spotify.com/track/4j8vGre00dO8yur34Mqzsv,https://p.scdn.co/mp3-preview/7db011b6ed3826f35232732b6618fc0bd66ae2e8?cid=57b733e352a843eab708ae2a3e3c30bc,Hiphop,2014-05-19,7.0,https://i.scdn.co/image/ab67616d00001e02acef1225cbf8b5ce5068d617,https://open.spotify.com/album/3ztY3wEwMdxsAysoUcn7PM,Benal,https://open.spotify.com/artist/1p2z4hiBCkxfWZ6OvyGBSA
Solo Guai,2:47,55.0,1.0,https://open.spotify.com/track/5kf8d9DoYJbQmiaYjsPobn,https://p.scdn.co/mp3-preview/02a7ac41c1898a9367bb8e52f6bd45fd84c9b6be?cid=57b733e352a843eab708ae2a3e3c30bc,Polaroid 2.0,2018-02-16,14.0,https://i.scdn.co/image/ab67616d00001e02cf431bdf2803b80d4225da04,https://open.spotify.com/album/3RPTwOmoZNB0gNyUKscixz,Carl Brave x Franco126,https://open.spotify.com/artist/6p2OF8M4ob4KovaU0SUX4b
THATS WHAT I WANT,2:23,96.0,4.0,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=57b733e352a843eab708ae2a3e3c30bc,MONTERO,2021-09-17,15.0,https://i.scdn.co/image/ab67616d00001e02be82673b5f79d9658ec0a9fd,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR,Lil Nas X,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
BURHAN G (BURHAN G x KIDD x TOBIAS RAHIM),2:14,60.0,1.0,https://open.spotify.com/track/3ly0KiqLSwqMeAdz7PSf3b,https://p.scdn.co/mp3-preview/3e44db7101cddd269f4a08fbc10b13c9504eb1b8?cid=57b733e352a843eab708ae2a3e3c30bc,BURHAN G (BURHAN G x KIDD x TOBIAS RAHIM),2021-07-23,1.0,https://i.scdn.co/image/ab67616d00001e0213f24028fd8ca50b8f6b57ca,https://open.spotify.com/album/3Q9au3Zjn82kc9CHw8AzBs,Burhan G,https://open.spotify.com/artist/14nVYgOiwVBJIEATXIDYC8
Better,3:49,75.0,1.0,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,https://p.scdn.co/mp3-preview/8177b402d2016ff5e4cca8e5e45e214abca5b2e3?cid=57b733e352a843eab708ae2a3e3c30bc,Better,2018-09-14,1.0,https://i.scdn.co/image/ab67616d00001e0297bbd3ef27fe0b40b36f8002,https://open.spotify.com/album/6Nd4PYvQ7aYid1Gn6sWgeG,Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
Benalgorytmen,4:32,25.0,3.0,https://open.spotify.com/track/1Xw5Z5hKD9517lYHZ5WuIg,https://p.scdn.co/mp3-preview/521f1a2c41f1b298a9396938e65c77895b4fbe1a?cid=57b733e352a843eab708ae2a3e3c30bc,Hiphop,2014-05-19,7.0,https://i.scdn.co/image/ab67616d00001e02acef1225cbf8b5ce5068d617,https://open.spotify.com/album/3ztY3wEwMdxsAysoUcn7PM,Benal,https://open.spotify.com/artist/1p2z4hiBCkxfWZ6OvyGBSA
INDUSTRY BABY (feat. Jack Harlow),3:32,95.0,1.0,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,https://p.scdn.co/mp3-preview/406f8a854c3a2a3acc957bbb6d6288b26e71874c?cid=57b733e352a843eab708ae2a3e3c30bc,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,1.0,https://i.scdn.co/image/ab67616d00001e02ba26678947112dff3c3158bf,https://open.spotify.com/album/622NFw5Yk0OReMJ2XWcXUh,Lil Nas X,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
T-Pain,2:00,43.0,1.0,https://open.spotify.com/track/7mWm9dmaJfCcxPsTKyB60b,https://p.scdn.co/mp3-preview/faa46b7e9fd1a0d0509b49ad3fff7e05c690678c?cid=57b733e352a843eab708ae2a3e3c30bc,T-Pain,2021-08-06,1.0,https://i.scdn.co/image/ab67616d00001e024a5e3c88fbf8ed493bfc4376,https://open.spotify.com/album/3o1L41rBaXnFIvAqJDE0JU,Larry 44,https://open.spotify.com/artist/2ws8pkPraOgD2gzMM6hUsh
